Track,Data,Value
Algarve,Position moyenne en qualif.,11.33
Fuji,Position moyenne en qualif.,11.50
Sebring,Position moyenne en qualif.,11.06
Bahrein (Outer),Position moyenne en qualif.,12.45
Le Mans,Position moyenne en qualif.,9
Fuji (classic),Position moyenne en qualif.,9.62
Monza (Grande),Position moyenne en qualif.,0
Bahrein (Paddock),Position moyenne en qualif.,0
Imola,Position moyenne en qualif.,8.89
Sebring (school),Position moyenne en qualif.,0
Interlagos,Position moyenne en qualif.,11.75
COTA,Position moyenne en qualif.,4
Silverstone,Position moyenne en qualif.,14.33
Lusail,Position moyenne en qualif.,13.85
Paul Ricard,Position moyenne en qualif.,4
Barcelone,Position moyenne en qualif.,9.20
Monza,Nombre de DNF,2
Bahrein,Nombre de DNF,6
Spa-Francorchamps,Nombre de DNF,1
Algarve,Nombre de DNF,0
Fuji,Nombre de DNF,2
Sebring,Nombre de DNF,4
Bahrein (Outer),Nombre de DNF,4
Le Mans,Nombre de DNF,1
Fuji (classic),Nombre de DNF,1
Monza (Grande),Nombre de DNF,0
Bahrein (Paddock),Nombre de DNF,0
Imola,Nombre de DNF,5
Sebring (school),Nombre de DNF,0
Interlagos,Nombre de DNF,1
COTA,Nombre de DNF,1
Silverstone,Nombre de DNF,0
Lusail,Nombre de DNF,3
Paul Ricard,Nombre de DNF,0
Barcelone,Nombre de DNF,1
